#TYPES=varchar(20)|varchar(155)|varchar(100)|varchar(30)|float8(17)|varchar(5)|timestamp(29)|varchar(5)|varchar(5)|varchar(155)|int4(10)|int4(10)|float8(17)|float8(17)|float8(17)|int4(10)|int4(10)|varchar(5)|int4(10)|varchar(155)|float8(17)|int4(10)|varchar(1)|varchar(1)|varchar(1)|varchar(1)
"pollutant_code","pollutant_code_desc","hap_category_name","chemical_formula","molecular_weight","active","last_modification_date","valid_v20","valid_v30","comment","urban_hap_33","urban_hap_baseline_33","nato_teq","who_teq","i_teq","ozoneprecursor","pmprecursor","hap_or_cap","pollutant_rank","smoke_name","factor","spec4id","keep","voctog","species","explicit"
"100027","4-Nitrophenol","4-Nitrophenol","C6H5NO3","139.11","Y","11/26/2001 11:02","Y","Y","","0","0","","","","1","1","HAP","1","NITROPHENL4","1","","N","","N",""
"10025737","Chromium (III) Chloride","Chromium Compounds","CrCl3","158.35","Y","5/9/2005","N","N","Added per request North Carolina.","1","1","","","","0","1","HAP","1","CHROMTRI","0.3284","","Y","","Y",""
"10025873","Phosphorus Oxychloride","Phosphorus Compounds","","","N","5/5/2004 10:07","Y","N","The pollutant is no longer active.","0","0","","","","0","1","","","","","","","","",""
"10025919","Antimony Trichloride","Antimony Compounds","Cl3Sb","228.12","Y","11/26/2001 11:02","Y","Y","","0","0","","","","0","1","HAP","1","ANTIMONY","0.5337","","N","","N",""
"1002671","Diethylene Glycol Ethyl Methyl Ether","Glycol Ethers","C7H16O3","148.2","Y","11/26/2001 11:02","Y","Y","","0","0","","","","1","1","HAP","1","GLYCOLETHR","1","","N","","N",""
"10031137","Lead Arsenite","Lead Compounds","Pb(AsHO2)2","391.04","Y","11/26/2001 11:02","Y","Y","","1","1","","","","0","1","HAP","1","LEAD","0.5299","","Y","","Y",""
"10034829","Sodium Chromate(VI)","Chromium Compounds","Na2(CrH2O4)(H2O)4","236.05","Y","11/26/2001 11:02","Y","Y","","1","1","","","","0","1","HAP","1","CHROMHEX","0.2203","","Y","","Y",""
"100414","Ethyl Benzene","Ethylbenzene","C8H10","106.17","Y","11/26/2001 11:02","Y","Y","","0","0","","","","1","0","HAP","1","ETHYLBENZ","1","449","Y","V","N",""
"100425","Styrene","Styrene","C8H8","104.15","Y","11/26/2001 11:02","Y","Y","","0","0","","","","1","0","HAP","1","STYRENE","1","698","Y","V","N",""
"10043660","Iodine 131","Radionuclides (Including Radon)","I, isotope of mass 131","126.9","Y","5/5/2004 10:07","N","Y","The pollutant was added.  This replaces the code 24267569.","0","0","","","","0","0","HAP","1","RADIONUCS","1","","N","","N",""
"100447","Benzyl Chloride","Benzyl Chloride","C7H7Cl","126.59","Y","11/26/2001 11:02","Y","Y","","0","0","","","","1","0","HAP","1","BENZYLCHLO","1","1909","N","","N",""
"10049055","Chromium (II) Chloride","Chromium Compounds","CrCl2","122.9","Y","5/9/2005","N","N","Added per request North Carolina.","1","1","","","","0","1","HAP","1","CHROMTRI","0.4231","","Y","","Y",""
"10060125","Chromium Chloride, Hexahydrate","Chromium Compounds","CrCl3(H2O)6","266.45","Y","5/9/2005","Y","Y","Name changed per North Carolina request.","1","1","","","","0","1","HAP","1","CHROMTRI","0.3283","","Y","","Y",""
"100805","Ethylene Glycol Methyl Ether","Glycol Ethers","","","N","9/19/2002 0:00","Y","N","","0","0","","","","0","0","","","","","","","","",""
"10099748","Lead Nitrate","Lead Compounds","Pb(HNO3)2","333.22","Y","11/26/2001 11:02","Y","Y","","1","1","","","","0","1","HAP","1","LEAD","0.6218","","Y","","Y",""
"10101505","Permanganic acid","Manganese Compounds","Na(HMnO4)","142.93","Y","3/13/2003 9:14","N","Y","","1","1","","","","0","1","HAP","1","MANGANESE","0.3841","","Y","","Y",""
"10101538","Chromic Sulfate","Chromium Compounds","Cr2(H2SO4)3","298.24","Y","11/26/2001 11:02","Y","Y","","1","1","","","","0","1","HAP","1","CHROMTRI","0.2611","","Y","","Y",""
"10101970","Nickel (II) Sulfate Hexahydrate","Nickel Compounds","NiH2SO4.6H2O","262.7","Y","11/26/2001 11:02","Y","Y","","1","1","","","","0","1","HAP","1","NICKEL","0.2234","","Y","","Y",""
"101020","Triphenyl Phosphite","Phosphorus Compounds","","","N","5/5/2004 10:07","Y","N","The pollutant is no longer active.","0","0","","","","0","1","","","","","","","","",""
"10108642","Cadmium Chloride","Cadmium Compounds","CdCl2","183.32","Y","11/26/2001 11:02","Y","Y","","1","1","","","","0","1","HAP","1","CADMIUM","0.6132","","Y","","Y",""
"101144","4,4'-Methylenebis(2-Chloraniline)","4,4'-Methylenebis(2-Chloroaniline)","C13H12Cl2N2","267.16","Y","11/26/2001 11:02","Y","Y","","0","0","","","","0","1","HAP","1","MTHLNBS2CHL","1","","N","","N",""
"10124364","Cadmium Sulfate","Cadmium Compounds","CdH2SO4","210.49","Y","11/26/2001 11:02","Y","Y","","1","1","","","","0","1","HAP","1","CADMIUM","0.534","","Y","","Y",""
"10124433","Cobalt Sulfate","Cobalt Compounds","CoH2SO4","157.01","Y","11/26/2001 11:02","Y","Y","","0","0","","","","0","1","HAP","1","COBALT","0.3753","","N","","N",""
"10137969","Ethyleneglycol Mono-2-Methylpentyl Ether","Glycol Ethers","C8H18O2","146.23","Y","11/26/2001 11:02","Y","Y","","0","0","","","","1","1","HAP","1","GLYCOLETHR","1","","N","","N",""
"10137981","Ethyleneglycolmono-2,6,8-Trimethyl-4-Nonyl Ether","Glycol Ethers","C14H30O2","230.39","Y","11/26/2001 11:02","Y","Y","","0","0","","","","1","1","HAP","1","GLYCOLETHR","1","","N","","N",""
"10143530","Diethylene Glycol Ethylvinyl Ether","Glycol Ethers","C8H16O3","160.21","Y","11/26/2001 11:02","Y","Y","","0","0","","","","1","1","HAP","1","GLYCOLETHR","1","","N","","N",""
"10143541","Diethylene Glycol Mono-2-Cyanoethyl Ether","Glycol Ethers","C7H13NO3","159.19","Y","11/26/2001 11:02","Y","Y","","0","0","","","","1","1","HAP","1","GLYCOLETHR","1","","N","","N",""
"10143563","Diethyleneglycol-Mono-2-Methyl-Pentyl Ether","Glycol Ethers","C10H22O3","190.28","Y","11/26/2001 11:02","Y","Y","","0","0","","","","1","1","HAP","1","GLYCOLETHR","1","","N","","N",""
"101688","4,4'-Methylenediphenyl Diisocyanate","4,4'-Methylenediphenyl Diisocyanate (MDI)","C15H10N2O2","250.26","Y","11/26/2001 11:02","Y","Y","","0","0","","","","0","1","HAP","1","MTHYLDPNLDS","1","554","N","","N",""
"101779","4,4'-Methylenedianiline","4,4'-Methylenedianiline","C13H14N2","198.27","Y","11/26/2001 11:02","Y","Y","","0","0","","","","0","1","HAP","1","MTHYDIAN44P","1","1896","N","","N",""
"102","Benzo[b+k]Fluoranthene","Polycyclic Organic Matter as 7-PAH","C18H10","226.28","Y","11/26/2001 11:02","Y","Y","","1","1","","","","1","1","HAP","1","BENZOBKFLUR","1","","N","","N",""
"10215335","3-Butoxy-1-Propanol","Glycol Ethers","C7H16O2","132.2","Y","11/26/2001 11:02","Y","Y","","0","0","","","","1","1","HAP","1","GLYCOLETHR","1","","N","","N",""
"10294403","Barium Chromate","Chromium Compounds","BaCrH2O4","255.34","Y","11/26/2001 11:02","Y","Y","","1","1","","","","0","1","HAP","1","CHROMHEX","0.2053","","Y","","Y",""
"10294561","Phosphorous Acid","Phosphorus Compounds","","","N","5/5/2004 10:07","Y","N","The pollutant is no longer active.","0","0","","","","0","1","","","","","","","","",""
"103","Benz(a)Anthracene/Chrysene","Polycyclic Organic Matter as 7-PAH","C18H12","228.29","Y","3/13/2003 9:14","N","Y","","1","1","","","","1","1","HAP","1","BZANTCHRYSN","1","","N","","N",""
"10325947","Cadmium Nitrate","Cadmium Compounds","Cd(HNO3)2","238.44","Y","11/26/2001 11:02","Y","Y","","1","1","","","","0","1","HAP","1","CADMIUM","0.4714","","Y","","Y",""
"10377669","Manganese Nitrate","Manganese Compounds","Mn(HNO3)2","180.96","Y","11/26/2001 11:02","Y","Y","","1","1","","","","0","1","HAP","1","MANGANESE","0.3036","","Y","","Y",""
"10588019","Sodium Dichromate","Chromium Compounds","Na2(Cr2H2O7)","263.98","Y","11/26/2001 11:02","Y","Y","","1","1","","","","0","1","HAP","1","CHROMHEX","0.397","","Y","","Y",""
"106423","p-Xylene","Xylenes (Mixed Isomers)","C8H10","106.17","Y","11/26/2001 11:02","Y","Y","","0","0","","","","1","0","HAP","1","PXYL","1","648","Y","V","Y",""
"106445","p-Cresol","Cresol/Cresylic Acid (Mixed Isomers)","C7H8O","108.14","Y","11/26/2001 11:02","Y","Y","","0","0","","","","1","1","HAP","1","PCRESOL","1","646","Y","V","N",""
"106467","1,4-Dichlorobenzene","1,4-Dichlorobenzene","C6H4Cl2","147","Y","11/26/2001 11:02","Y","Y","","0","0","","","","1","0","HAP","1","DICHLRBNZN","1","647","Y","V","Y",""
"106503","p-Phenylenediamine","p-Phenylenediamine","C6H8N2","108.14","Y","11/26/2001 11:02","Y","Y","","0","0","","","","1","1","HAP","1","PHNYLNDIAMI","1","","N","","N",""
"106514","Quinone","Quinone (p-Benzoquinone)","C6H4O2","108.1","Y","11/26/2001 11:02","Y","Y","","0","0","","","","1","1","HAP","1","QUINONE","1","","N","","N",""
"106887","1,2-Epoxybutane","1,2-Epoxybutane","C4H8O","72.11","Y","11/26/2001 11:02","Y","Y","","0","0","","","","1","0","HAP","1","EPOXYBUTA12","1","41","N","","N",""
